user_id,name,email,role,created_at,user_satisfaction
U-28,Arjun Sinha,arjunsinha@gmail.com,Guest,43118.23656,Poor
U-29,Riya Mitra,riyamitra@gmail.com,AI Trainer,44833.2599,Very Good
U-30,Reyansh Ansari,reyanshansari@gmail.com,Guest,42509.54356,Excellent
U-31,Nisha Nair,nishanair@gmail.com,DBA,45498.46127,Good
U-32,Arjun Reddy,arjunreddy@gmail.com,IT Security,45234.11943,Excellent
U-33,Dev Paul,devpaul@gmail.com,Viewer,45874.9918,Poor
U-34,Kunal Chatterjee,kunalchatterjee@gmail.com,Sales Ops,42966.14753,Excellent
U-35,Sara Das,saradas@gmail.com,Technical Writer,43902.48882,Excellent
U-36,Aahana Fernandes,aahanafernandes@gmail.com,Network Admin,42658.58555,Very Good
U-37,Atharv Banerjee,atharvbanerjee@gmail.com,Content Creator,45218.7092,Very Good
U-38,Aditya Agarwal,adityaagarwal@gmail.com,Premium User,45793.35584,Good
U-39,Reyansh Ghosh,reyanshghosh@gmail.com,Product Owner,42254.29759,Average
U-40,Arjun Fernandes,arjunfernandes@gmail.com,ML Engineer,44678.90599,Very Good
U-41,Meera Saxena,meerasaxena@gmail.com,Premium User,44061.26045,Poor
U-42,Aditi Pandey,aditipandey@gmail.com,API Client,44030.94384,Very Good
U-43,Siddharth Mirza,siddharthmirza@gmail.com,Business Analyst,42917.35364,Excellent
U-44,Rahul Chatterjee,rahulchatterjee@gmail.com,Business Analyst,45427.38863,Poor
U-45,Dev Paul,devpaul@gmail.com,Guest,44979.82636,Average
U-46,Krish Ghosh,krishghosh@gmail.com,API Client,43781.16267,Poor
U-47,Samar Shaikh,samarshaikh@gmail.com,Automation Engineer,44511.11346,Excellent
U-48,Krish Mehta,krishmehta@gmail.com,Technical Writer,43884.69329,Excellent
U-49,Meera Yadav,meerayadav@gmail.com,Viewer,44843.28835,Poor
U-50,Meera Agarwal,meeraagarwal@gmail.com,Network Admin,45230.67833,Very Good
U-51,Vivaan Mahajan,vivaanmahajan@gmail.com,Researcher,42772.03166,Good
U-52,Naina Sheikh,nainasheikh@gmail.com,DBA,45549.29573,Average
U-53,Naina Paul,nainapaul@gmail.com,DBA,44649.38813,Good
U-54,Arjun Gupta,arjungupta@gmail.com,Scrum Master,42688.54695,Excellent
U-55,Anvi Fernandes,anvifernandes@gmail.com,Product Owner,42915.65793,Poor
U-56,Naina Ghosh,nainaghosh@gmail.com,IT Security,45571.38456,Average
U-57,Dhruv Shaikh,dhruvshaikh@gmail.com,Viewer,45501.60131,Average
U-58,Aryan Yadav,aryanyadav@gmail.com,Cloud Architect,43089.82371,Good
U-59,Aryan Singh,aryansingh@gmail.com,Technical Writer,44304.13488,Very Good
U-60,Siddharth Sheikh,siddharthsheikh@gmail.com,Automation Engineer,42265.6791,Very Good
U-61,Siddharth Shaikh,siddharthshaikh@gmail.com,Product Analyst,42768.2222,Poor
U-62,Samar Kapoor,samarkapoor@gmail.com,Admin,42330.27006,Poor
U-63,Dhruv Mehta,dhruvmehta@gmail.com,DBA,44615.27014,Good
U-64,Yash Singh,yashsingh@gmail.com,Data Analyst,42354.58929,Average
U-65,Krish Mirza,krishmirza@gmail.com,DBA,45125.54615,Very Good
U-66,Krish Khan,krishkhan@gmail.com,Cloud Architect,44781.92942,Poor
U-67,Nisha Mitra,nishamitra@gmail.com,Viewer,45537.2429,Poor
U-68,Aditi Iyer,aditiiyer@gmail.com,Full-Stack Engineer,42206.13563,Very Good
U-69,Rahul D'Souza,rahuld'souza@gmail.com,Scrum Master,45224.15694,Good
U-70,Kiara Shaikh,kiarashaikh@gmail.com,Developer,43285.70045,Average
U-71,Reyansh Mehta,reyanshmehta@gmail.com,Technical Writer,45223.36865,Poor
U-72,Ishaan Singh,ishaansingh@gmail.com,Content Creator,43329.07389,Good
U-73,Ishaan Sheikh,ishaansheikh@gmail.com,Content Creator,43355.34266,Very Good
U-74,Samar Yadav,samaryadav@gmail.com,Network Admin,42102.79618,Excellent
U-75,Dhruv Ansari,dhruvansari@gmail.com,AI Trainer,45835.0282,Poor
U-76,Vivaan Agarwal,vivaanagarwal@gmail.com,Technical Writer,44989.2457,Poor
U-77,Siya Sinha,siyasinha@gmail.com,Developer,45682.93617,Average
U-78,Atharv Ghosh,atharvghosh@gmail.com,Technical Writer,44021.61752,Very Good
U-79,Rohan Singh,rohansingh@gmail.com,Network Admin,42596.47221,Good
U-80,Atharv Joshi,atharvjoshi@gmail.com,Moderator,42237.68586,Poor
U-81,Dev Saxena,devsaxena@gmail.com,Sales Ops,44810.33977,Excellent
U-82,Reyansh Chatterjee,reyanshchatterjee@gmail.com,IT Security,42477.52642,Average
U-83,Neel Roy,neelroy@gmail.com,Developer,44842.91683,Good
U-84,Sara Yadav,sarayadav@gmail.com,Developer,42275.40858,Average
U-85,Siddharth Khan,siddharthkhan@gmail.com,Premium User,43984.0923,Very Good
U-86,Yash Pathan,yashpathan@gmail.com,Sales Ops,43985.00844,Average
U-87,Samar Sheikh,samarsheikh@gmail.com,Content Creator,42340.29576,Excellent
U-88,Reyansh Joshi,reyanshjoshi@gmail.com,API Client,43121.02007,Average
U-89,Kunal Yadav,kunalyadav@gmail.com,AI Trainer,42458.32136,Poor
U-90,Naina Chatterjee,nainachatterjee@gmail.com,Moderator,44335.42502,Poor
U-91,Divya Nair,divyanair@gmail.com,Developer,44756.27396,Average
U-92,Kunal Sharma,kunalsharma@gmail.com,DevOps Engineer,43961.29644,Good
U-93,Meera Patel,meerapatel@gmail.com,Product Owner,43804.53704,Very Good
U-94,Nisha Sinha,nishasinha@gmail.com,Data Analyst,44624.027,Poor
U-95,Neel Kapoor,neelkapoor@gmail.com,ML Engineer,45274.78955,Poor
U-96,Rahul Mitra,rahulmitra@gmail.com,Developer,44667.45008,Very Good
U-97,Vihaan D'Souza,vihaand'souza@gmail.com,Project Manager,43305.98956,Excellent
U-98,Neel Mahajan,neelmahajan@gmail.com,Network Admin,45655.05624,Good
U-99,Dev Banerjee,devbanerjee@gmail.com,Developer,45832.35658,Poor
U-100,Naina Reddy,nainareddy@gmail.com,Business Analyst,44533.42518,Average
U-101,Aarav Ghosh,aaravghosh@gmail.com,Sales Ops,44488.01039,Average
U-102,Dev Patel,devpatel@gmail.com,ML Engineer,43162.35659,Good
U-103,Sara Singh,sarasingh@gmail.com,Network Admin,43656.68076,Average
U-104,Aditya Patel,adityapatel@gmail.com,AI Trainer,43717.40934,Average
U-105,Riya Joshi,riyajoshi@gmail.com,Premium User,42250.22215,Very Good
U-106,Krish Das,krishdas@gmail.com,Business Analyst,45727.66874,Very Good
U-107,Aditya Khan,adityakhan@gmail.com,Researcher,45637.46923,Poor
U-108,Siya Rathore,siyarathore@gmail.com,Content Creator,44369.34626,Good
U-109,Ira Joshi,irajoshi@gmail.com,Data Analyst,43956.43601,Excellent
U-110,Anvi Mirza,anvimirza@gmail.com,Premium User,46007.216,Average
U-111,Rahul Iyer,rahuliyer@gmail.com,Network Admin,45172.12423,Poor
U-112,Krish Pathan,krishpathan@gmail.com,Automation Engineer,45650.9621,Excellent
U-113,Anvi Iyer,anviiyer@gmail.com,Moderator,43795.38581,Average
U-114,Siddharth Khan,siddharthkhan@gmail.com,API Client,45444.10463,Good
U-115,Myra Mahajan,myramahajan@gmail.com,Moderator,42720.21599,Very Good
U-116,Anaya Mitra,anayamitra@gmail.com,Scrum Master,45784.26003,Very Good
U-117,Dev Mirza,devmirza@gmail.com,Product Owner,42636.6597,Poor
U-118,Tanvi Das,tanvidas@gmail.com,Product Analyst,42072.08076,Good
U-119,Dhruv D'Souza,dhruvd'souza@gmail.com,Admin,44737.34652,Very Good
U-120,Divya Banerjee,divyabanerjee@gmail.com,Researcher,45278.81961,Excellent
U-121,Riya Mitra,riyamitra@gmail.com,API Client,42126.56257,Very Good
U-122,Rahul Verma,rahulverma@gmail.com,Technical Writer,44412.29442,Average
U-123,Priya Chauhan,priyachauhan@gmail.com,SRE,43137.71176,Poor
U-124,Riya Yadav,riyayadav@gmail.com,AI Trainer,45470.47939,Good
U-125,Ishaan Kulkarni,ishaankulkarni@gmail.com,Viewer,44718.16028,Good
U-126,Priya Mehta,priyamehta@gmail.com,Business Analyst,44261.21588,Very Good
U-127,Siddharth Mirza,siddharthmirza@gmail.com,SRE,42156.54826,Good
U-128,Nisha Gupta,nishagupta@gmail.com,Business Analyst,43055.69449,Very Good
U-129,Anaya Mitra,anayamitra@gmail.com,API Client,42493.65485,Average
U-130,Aarav Sharma,aaravsharma@gmail.com,Viewer,44148.19135,Average
U-131,Ira Yadav,irayadav@gmail.com,SRE,45676.14556,Excellent
U-132,Dev Iyer,deviyer@gmail.com,Network Admin,43002.76318,Good
U-133,Nisha Mahajan,nishamahajan@gmail.com,Guest,44854.66919,Very Good
U-134,Dev Nair,devnair@gmail.com,DevOps Engineer,45160.28557,Excellent
U-135,Anaya Gupta,anayagupta@gmail.com,Support,45688.67777,Very Good
U-136,Aditya Shaikh,adityashaikh@gmail.com,ML Engineer,45654.39338,Average
U-137,Ira Roy,iraroy@gmail.com,Support,43503.19923,Excellent
U-138,Sara Ansari,saraansari@gmail.com,Support,44454.95177,Good
U-139,Sara Fernandes,sarafernandes@gmail.com,Data Analyst,42643.78115,Good
U-140,Rohan Yadav,rohanyadav@gmail.com,AI Trainer,43964.10682,Very Good
U-141,Riya Iyer,riyaiyer@gmail.com,Support,45238.83225,Average
U-142,Divya Joshi,divyajoshi@gmail.com,Project Manager,42213.00958,Very Good
U-143,Arjun Kapoor,arjunkapoor@gmail.com,AI Trainer,42763.71477,Good
U-144,Kiara Pathan,kiarapathan@gmail.com,Sales Ops,45135.28259,Average
U-145,Anvi Bhardwaj,anvibhardwaj@gmail.com,Admin,43043.09082,Poor
U-146,Rahul Chatterjee,rahulchatterjee@gmail.com,API Client,44955.31902,Excellent
U-147,Meera Paul,meerapaul@gmail.com,API Client,42155.38975,Good
U-148,Aarav Sheikh,aaravsheikh@gmail.com,Business Analyst,45337.9519,Average
U-149,Ishaan Iyer,ishaaniyer@gmail.com,Developer,45197.39828,Very Good
U-150,Ishaan Fernandes,ishaanfernandes@gmail.com,Guest,42640.18608,Average
U-151,Dhruv Mirza,dhruvmirza@gmail.com,Moderator,43145.98346,Good
U-152,Arjun Iyer,arjuniyer@gmail.com,DBA,45187.00651,Excellent
U-153,Rohan Saxena,rohansaxena@gmail.com,DBA,45580.44698,Poor
U-154,Dev Paul,devpaul@gmail.com,IT Security,45838.79211,Good
U-155,Myra Ghosh,myraghosh@gmail.com,Full-Stack Engineer,44042.74625,Average
U-156,Neel Yadav,neelyadav@gmail.com,Researcher,45620.90106,Poor
U-157,Nisha Das,nishadas@gmail.com,Researcher,44363.98875,Poor
U-158,Yash Mehta,yashmehta@gmail.com,SRE,43172.43597,Very Good
U-159,Reyansh Pandey,reyanshpandey@gmail.com,Project Manager,45673.86312,Good
U-160,Meera Nair,meeranair@gmail.com,Automation Engineer,42171.80239,Excellent
U-161,Vihaan Gupta,vihaangupta@gmail.com,IT Security,45960.32038,Excellent
U-162,Aditya Ghosh,adityaghosh@gmail.com,Product Owner,44068.39129,Average
U-163,Yash Singh,yashsingh@gmail.com,Viewer,45228.84275,Excellent
U-164,Samar Patel,samarpatel@gmail.com,Sales Ops,45780.39166,Excellent
U-165,Siddharth D'Souza,siddharthd'souza@gmail.com,Premium User,43558.95578,Poor
U-166,Atharv Sharma,atharvsharma@gmail.com,Premium User,42882.30669,Average
U-167,Riya Gupta,riyagupta@gmail.com,Technical Writer,44477.15233,Poor
U-168,Tanvi Sharma,tanvisharma@gmail.com,QA Tester,44243.98493,Average
U-169,Aditya Joshi,adityajoshi@gmail.com,Technical Writer,44877.47986,Excellent
U-170,Reyansh Verma,reyanshverma@gmail.com,Sales Ops,44422.05357,Very Good
U-171,Neel Bhardwaj,neelbhardwaj@gmail.com,Guest,43651.36698,Very Good
U-172,Ishaan Rathore,ishaanrathore@gmail.com,User,45980.51172,Excellent
U-173,Arjun Joshi,arjunjoshi@gmail.com,User,43455.38134,Good
U-174,Anvi Pathan,anvipathan@gmail.com,Admin,45164.72509,Very Good
U-175,Krish Verma,krishverma@gmail.com,User,42724.96582,Average
U-176,Anvi Mahajan,anvimahajan@gmail.com,Product Owner,43655.56529,Average
U-177,Rohan Yadav,rohanyadav@gmail.com,Premium User,43073.75301,Average
U-178,Neel Pandey,neelpandey@gmail.com,Content Creator,43404.53222,Good
U-179,Aditya Yadav,adityayadav@gmail.com,Sales Ops,45780.74842,Average
U-180,Atharv Kulkarni,atharvkulkarni@gmail.com,Researcher,45241.17366,Average
U-181,Aarav Mitra,aaravmitra@gmail.com,Viewer,45134.71592,Good
U-182,Samar Saxena,samarsaxena@gmail.com,QA Tester,44021.74441,Excellent
U-183,Dev Rathore,devrathore@gmail.com,Moderator,43258.60703,Good
U-184,Samar Fernandes,samarfernandes@gmail.com,Technical Writer,44886.92071,Excellent
U-185,Neel Khan,neelkhan@gmail.com,Guest,43513.13943,Good
U-186,Divya Shaikh,divyashaikh@gmail.com,Scrum Master,45392.83974,Poor
U-187,Aryan Banerjee,aryanbanerjee@gmail.com,Developer,45151.40331,Very Good
U-188,Arjun Sinha,arjunsinha@gmail.com,DevOps Engineer,45389.46567,Good
U-189,Ira D'Souza,irad'souza@gmail.com,Premium User,45520.60172,Excellent
U-190,Neel Kapoor,neelkapoor@gmail.com,Admin,43428.39816,Average
U-191,Vivaan Iyer,vivaaniyer@gmail.com,Viewer,45203.92891,Good
U-192,Aryan Mehta,aryanmehta@gmail.com,Researcher,43089.91412,Excellent
U-193,Krish Iyer,krishiyer@gmail.com,Product Analyst,42415.06637,Good
U-194,Nisha Khan,nishakhan@gmail.com,Data Analyst,45070.22473,Poor
U-195,Siya Paul,siyapaul@gmail.com,Technical Writer,45301.17159,Very Good
U-196,Neel Pandey,neelpandey@gmail.com,QA Tester,45307.25495,Very Good
U-197,Anaya Iyer,anayaiyer@gmail.com,Technical Writer,42492.48384,Excellent
U-198,Divya Mitra,divyamitra@gmail.com,Business Analyst,42102.77407,Poor
U-199,Reyansh Bhardwaj,reyanshbhardwaj@gmail.com,Developer,42679.14157,Excellent
U-200,Siddharth Khan,siddharthkhan@gmail.com,Sales Ops,45728.59798,Poor
U-201,Riya Paul,riyapaul@gmail.com,DBA,42908.96191,Excellent
U-202,Priya Ghosh,priyaghosh@gmail.com,ML Engineer,44366.77106,Excellent
U-203,Priya Mitra,priyamitra@gmail.com,Business Analyst,45963.00044,Excellent
U-204,Dev Yadav,devyadav@gmail.com,Viewer,42254.44568,Poor
U-205,Atharv Banerjee,atharvbanerjee@gmail.com,Support,42183.83266,Excellent
U-206,Neel Pathan,neelpathan@gmail.com,Full-Stack Engineer,43916.41286,Poor
U-207,Siya Bhardwaj,siyabhardwaj@gmail.com,API Client,44293.19906,Poor
U-208,Siddharth Paul,siddharthpaul@gmail.com,Product Owner,42386.49027,Average
U-209,Aditya Mirza,adityamirza@gmail.com,Guest,44263.22459,Excellent
U-210,Atharv Mahajan,atharvmahajan@gmail.com,QA Tester,45940.94737,Very Good
U-211,Anvi Mahajan,anvimahajan@gmail.com,DBA,45452.11753,Very Good
U-212,Aarav Saxena,aaravsaxena@gmail.com,Moderator,44812.76067,Good
U-213,Vihaan Fernandes,vihaanfernandes@gmail.com,Full-Stack Engineer,44684.7997,Average
U-214,Ira Sharma,irasharma@gmail.com,Product Analyst,45066.76627,Very Good
U-215,Rohan Khan,rohankhan@gmail.com,DBA,42640.54778,Excellent
U-216,Riya Ghosh,riyaghosh@gmail.com,Moderator,44993.13131,Average
U-217,Rahul Paul,rahulpaul@gmail.com,Business Analyst,44012.73561,Average
U-218,Sara Saxena,sarasaxena@gmail.com,Product Analyst,43101.45533,Poor
U-219,Arjun Khan,arjunkhan@gmail.com,Admin,45856.96338,Good
U-220,Anaya Iyer,anayaiyer@gmail.com,Sales Ops,44747.86109,Poor
U-221,Atharv Verma,atharvverma@gmail.com,Automation Engineer,45469.7639,Excellent
U-222,Siya Bhardwaj,siyabhardwaj@gmail.com,SRE,43764.60414,Poor
U-223,Rahul Sharma,rahulsharma@gmail.com,QA Tester,42473.15402,Poor
U-224,Aarav Shaikh,aaravshaikh@gmail.com,API Client,42288.82124,Poor
U-225,Reyansh Saxena,reyanshsaxena@gmail.com,Sales Ops,42226.76848,Excellent
U-226,Krish Pandey,krishpandey@gmail.com,Product Analyst,44290.08835,Good
U-227,Aahana Das,aahanadas@gmail.com,Business Analyst,44754.61158,Poor
U-228,Reyansh Pathan,reyanshpathan@gmail.com,Viewer,43426.38531,Average
U-229,Reyansh D'Souza,reyanshd'souza@gmail.com,User,44800.38929,Average
U-230,Aahana Shaikh,aahanashaikh@gmail.com,AI Trainer,43950.51819,Good
U-231,Yash Mahajan,yashmahajan@gmail.com,Project Manager,44383.49924,Average
U-232,Nisha Ansari,nishaansari@gmail.com,DBA,42717.31794,Excellent
U-233,Aditi Agarwal,aditiagarwal@gmail.com,Researcher,42383.8677,Very Good
U-234,Ishaan Roy,ishaanroy@gmail.com,Project Manager,42367.17143,Poor
U-235,Yash Mirza,yashmirza@gmail.com,User,45940.90974,Very Good
U-236,Anvi Pathan,anvipathan@gmail.com,DevOps Engineer,42541.30207,Poor
U-237,Nisha Das,nishadas@gmail.com,Data Analyst,45905.40633,Poor
U-238,Atharv Rathore,atharvrathore@gmail.com,Content Creator,43859.03794,Average
U-239,Reyansh Pandey,reyanshpandey@gmail.com,Researcher,45507.77882,Good
U-240,Vihaan Pandey,vihaanpandey@gmail.com,QA Tester,43530.33758,Good
U-241,Naina Mirza,nainamirza@gmail.com,Moderator,42124.30953,Excellent
U-242,Kiara Banerjee,kiarabanerjee@gmail.com,Premium User,45302.79979,Excellent
U-243,Reyansh Mehta,reyanshmehta@gmail.com,Business Analyst,43535.19001,Very Good
U-244,Neel Rathore,neelrathore@gmail.com,Premium User,42061.18227,Excellent
U-245,Anaya Das,anayadas@gmail.com,Cloud Architect,43624.03505,Excellent
U-246,Reyansh Rathore,reyanshrathore@gmail.com,Premium User,45437.80351,Poor
U-247,Kunal Singh,kunalsingh@gmail.com,QA Tester,44091.52163,Very Good
U-248,Aditya Chatterjee,adityachatterjee@gmail.com,User,45423.63298,Excellent
U-249,Krish Mehta,krishmehta@gmail.com,Business Analyst,42682.76274,Good
U-250,Riya Rathore,riyarathore@gmail.com,Premium User,42635.75991,Poor
U-251,Ishaan Shaikh,ishaanshaikh@gmail.com,Researcher,44890.80911,Good
U-252,Dhruv Kapoor,dhruvkapoor@gmail.com,Content Creator,42475.55396,Poor
U-253,Krish Pathan,krishpathan@gmail.com,Scrum Master,43900.96895,Very Good
U-254,Ira Sheikh,irasheikh@gmail.com,Premium User,43221.34624,Good
U-255,Naina Rathore,nainarathore@gmail.com,API Client,45722.2995,Excellent
U-256,Dhruv Ansari,dhruvansari@gmail.com,API Client,43192.94407,Poor
U-257,Aditi Rathore,aditirathore@gmail.com,Cloud Architect,44437.52538,Good
U-258,Anvi Mahajan,anvimahajan@gmail.com,Moderator,45639.15774,Excellent
U-259,Neel Yadav,neelyadav@gmail.com,Cloud Architect,44636.30636,Good
U-260,Ira Paul,irapaul@gmail.com,Premium User,42120.68061,Very Good
U-261,Reyansh Kulkarni,reyanshkulkarni@gmail.com,Data Analyst,45793.89237,Average
U-262,Priya Fernandes,priyafernandes@gmail.com,SRE,45554.5809,Poor
U-263,Tanvi Rathore,tanvirathore@gmail.com,Product Analyst,43421.02463,Average
U-264,Siddharth Das,siddharthdas@gmail.com,ML Engineer,43412.77031,Good
U-265,Meera Ghosh,meeraghosh@gmail.com,Guest,42690.96752,Very Good
U-266,Anvi Nair,anvinair@gmail.com,Developer,45538.70481,Good
U-267,Divya Kapoor,divyakapoor@gmail.com,ML Engineer,45741.9429,Poor
U-268,Rahul Iyer,rahuliyer@gmail.com,Data Analyst,43702.78253,Poor
U-269,Naina Paul,nainapaul@gmail.com,Automation Engineer,45747.80627,Average
U-270,Dhruv Chatterjee,dhruvchatterjee@gmail.com,Cloud Architect,44270.45392,Excellent
U-271,Krish Sheikh,krishsheikh@gmail.com,DevOps Engineer,43528.92436,Poor
U-272,Reyansh Nair,reyanshnair@gmail.com,SRE,42991.88912,Good
U-273,Aditi Khan,aditikhan@gmail.com,Network Admin,45054.30467,Poor
U-274,Nisha Shaikh,nishashaikh@gmail.com,Content Creator,45498.19561,Good
U-275,Tanvi Kapoor,tanvikapoor@gmail.com,Moderator,43072.88356,Very Good
U-276,Neel Nair,neelnair@gmail.com,Network Admin,42042.99255,Good
U-277,Rahul Roy,rahulroy@gmail.com,Guest,42380.37731,Poor
U-278,Vivaan Sheikh,vivaansheikh@gmail.com,Data Analyst,45016.35157,Poor
U-279,Aditya Fernandes,adityafernandes@gmail.com,AI Trainer,44712.52047,Average
U-280,Dev Mirza,devmirza@gmail.com,Premium User,44131.22389,Poor
U-281,Rahul Bhardwaj,rahulbhardwaj@gmail.com,Sales Ops,43734.1234,Average
U-282,Kabir Sheikh,kabirsheikh@gmail.com,Technical Writer,45338.95171,Average
U-283,Priya Mehta,priyamehta@gmail.com,DevOps Engineer,43945.85107,Very Good
U-284,Vivaan Patel,vivaanpatel@gmail.com,QA Tester,42389.67189,Excellent
U-285,Atharv Mahajan,atharvmahajan@gmail.com,Automation Engineer,44285.66349,Excellent
U-286,Aditya Yadav,adityayadav@gmail.com,Support,42293.1581,Very Good
U-287,Dhruv Bhardwaj,dhruvbhardwaj@gmail.com,Scrum Master,43326.51207,Poor
U-288,Aryan Sheikh,aryansheikh@gmail.com,Project Manager,43764.93367,Poor
U-289,Aryan Chauhan,aryanchauhan@gmail.com,QA Tester,43772.08861,Excellent
U-290,Anvi Sheikh,anvisheikh@gmail.com,Developer,44670.84615,Very Good
U-291,Atharv Bhardwaj,atharvbhardwaj@gmail.com,User,42695.7225,Average
U-292,Aryan Chauhan,aryanchauhan@gmail.com,QA Tester,44143.75312,Excellent
U-293,Krish Fernandes,krishfernandes@gmail.com,SRE,42139.14113,Excellent
U-294,Atharv Kapoor,atharvkapoor@gmail.com,Admin,45009.81914,Poor
U-295,Aditi Reddy,aditireddy@gmail.com,Moderator,45131.64919,Excellent
U-296,Samar Roy,samarroy@gmail.com,Content Creator,42823.90402,Poor
U-297,Dhruv Ansari,dhruvansari@gmail.com,Product Analyst,42501.81102,Good
U-298,Aahana Kulkarni,aahanakulkarni@gmail.com,Guest,45916.63558,Excellent
U-299,Kabir Mitra,kabirmitra@gmail.com,Sales Ops,43222.91262,Average
U-300,Anvi Agarwal,anviagarwal@gmail.com,User,42341.11279,Good
U-301,Myra Pandey,myrapandey@gmail.com,DevOps Engineer,43870.3368,Good
U-302,Naina Ghosh,nainaghosh@gmail.com,IT Security,43499.74931,Excellent
U-303,Dhruv Paul,dhruvpaul@gmail.com,Moderator,42432.79349,Good
U-304,Vivaan Bhardwaj,vivaanbhardwaj@gmail.com,IT Security,45660.27671,Poor
U-305,Neel Patel,neelpatel@gmail.com,API Client,45084.96282,Average
U-306,Arjun Paul,arjunpaul@gmail.com,Sales Ops,44117.98221,Very Good
U-307,Sara Yadav,sarayadav@gmail.com,Moderator,43724.71016,Good
U-308,Rahul Joshi,rahuljoshi@gmail.com,DevOps Engineer,43601.43842,Poor
U-309,Neel Pathan,neelpathan@gmail.com,Sales Ops,43523.31826,Very Good
U-310,Samar Nair,samarnair@gmail.com,DBA,42559.07144,Excellent
U-311,Kabir Chatterjee,kabirchatterjee@gmail.com,Content Creator,45460.25966,Good
U-312,Kabir Shaikh,kabirshaikh@gmail.com,DevOps Engineer,44764.54228,Good
U-313,Yash Bhardwaj,yashbhardwaj@gmail.com,Scrum Master,45841.82485,Very Good
U-314,Vivaan D'Souza,vivaand'souza@gmail.com,DevOps Engineer,42201.15701,Very Good
U-315,Vihaan Fernandes,vihaanfernandes@gmail.com,QA Tester,43298.07269,Excellent
U-316,Yash Sharma,yashsharma@gmail.com,Product Owner,44224.4579,Very Good
U-317,Arjun Ansari,arjunansari@gmail.com,QA Tester,43631.46889,Good
U-318,Nisha Pandey,nishapandey@gmail.com,Data Analyst,44291.94415,Poor
U-319,Atharv Pathan,atharvpathan@gmail.com,SRE,43814.30375,Very Good
U-320,Kiara Yadav,kiarayadav@gmail.com,Automation Engineer,42988.50201,Poor
U-321,Anvi Mitra,anvimitra@gmail.com,Cloud Architect,42331.01577,Excellent
U-322,Aahana Mirza,aahanamirza@gmail.com,Admin,44033.44124,Excellent
U-323,Ishaan Mirza,ishaanmirza@gmail.com,DBA,42282.33028,Very Good
U-324,Riya Mehta,riyamehta@gmail.com,API Client,44045.19945,Excellent
U-325,Rahul Fernandes,rahulfernandes@gmail.com,Support,45396.47744,Excellent
U-326,Vihaan Sharma,vihaansharma@gmail.com,ML Engineer,42307.64607,Average
U-327,Samar Bhardwaj,samarbhardwaj@gmail.com,Admin,43503.87431,Poor
U-328,Anvi Pandey,anvipandey@gmail.com,Developer,44746.52174,Very Good
U-329,Aditi Singh,aditisingh@gmail.com,Sales Ops,42175.10072,Poor
U-330,Aarav Saxena,aaravsaxena@gmail.com,Developer,44744.35072,Average
U-331,Priya Kulkarni,priyakulkarni@gmail.com,Full-Stack Engineer,43069.10197,Average
U-332,Rahul Reddy,rahulreddy@gmail.com,SRE,44924.27014,Average
U-333,Divya Yadav,divyayadav@gmail.com,Premium User,44426.27883,Good
U-334,Vivaan Fernandes,vivaanfernandes@gmail.com,Network Admin,42592.22175,Average
